year,city,avg_temp
1843,Riyadh,24.74
1844,Riyadh,15.45
1845,Riyadh,20.82
1846,Riyadh,
1847,Riyadh,
1848,Riyadh,24.56
1849,Riyadh,24.80
1850,Riyadh,24.34
1851,Riyadh,25.03
1852,Riyadh,24.85
1853,Riyadh,24.93
1854,Riyadh,24.72
1855,Riyadh,24.92
1856,Riyadh,24.57
1857,Riyadh,24.26
1858,Riyadh,25.01
1859,Riyadh,24.95
1860,Riyadh,24.94
1861,Riyadh,24.13
1862,Riyadh,23.77
1863,Riyadh,24.28
1864,Riyadh,25.03
1865,Riyadh,25.23
1866,Riyadh,24.92
1867,Riyadh,25.22
1868,Riyadh,25.00
1869,Riyadh,25.30
1870,Riyadh,25.02
1871,Riyadh,24.73
1872,Riyadh,24.87
1873,Riyadh,25.24
1874,Riyadh,24.98
1875,Riyadh,24.43
1876,Riyadh,24.89
1877,Riyadh,25.47
1878,Riyadh,25.51
1879,Riyadh,25.24
1880,Riyadh,24.80
1881,Riyadh,25.63
1882,Riyadh,24.66
1883,Riyadh,25.19
1884,Riyadh,24.80
1885,Riyadh,24.98
1886,Riyadh,24.98
1887,Riyadh,24.81
1888,Riyadh,25.13
1889,Riyadh,25.52
1890,Riyadh,25.07
1891,Riyadh,25.39
1892,Riyadh,25.22
1893,Riyadh,25.19
1894,Riyadh,24.66
1895,Riyadh,24.69
1896,Riyadh,24.88
1897,Riyadh,24.86
1898,Riyadh,24.88
1899,Riyadh,25.12
1900,Riyadh,25.29
1901,Riyadh,25.55
1902,Riyadh,25.25
1903,Riyadh,24.64
1904,Riyadh,25.07
1905,Riyadh,24.87
1906,Riyadh,24.85
1907,Riyadh,24.44
1908,Riyadh,24.95
1909,Riyadh,25.57
1910,Riyadh,24.75
1911,Riyadh,24.24
1912,Riyadh,24.96
1913,Riyadh,24.63
1914,Riyadh,24.94
1915,Riyadh,25.38
1916,Riyadh,24.85
1917,Riyadh,25.03
1918,Riyadh,24.66
1919,Riyadh,25.39
1920,Riyadh,24.94
1921,Riyadh,24.84
1922,Riyadh,25.35
1923,Riyadh,25.10
1924,Riyadh,25.69
1925,Riyadh,25.00
1926,Riyadh,25.19
1927,Riyadh,25.29
1928,Riyadh,25.39
1929,Riyadh,25.36
1930,Riyadh,25.39
1931,Riyadh,25.38
1932,Riyadh,24.96
1933,Riyadh,24.67
1934,Riyadh,24.97
1935,Riyadh,25.61
1936,Riyadh,25.15
1937,Riyadh,25.08
1938,Riyadh,25.11
1939,Riyadh,25.16
1940,Riyadh,25.51
1941,Riyadh,25.37
1942,Riyadh,25.49
1943,Riyadh,24.96
1944,Riyadh,25.60
1945,Riyadh,25.30
1946,Riyadh,25.49
1947,Riyadh,26.00
1948,Riyadh,24.85
1949,Riyadh,24.82
1950,Riyadh,24.98
1951,Riyadh,26.10
1952,Riyadh,25.72
1953,Riyadh,25.51
1954,Riyadh,25.80
1955,Riyadh,25.33
1956,Riyadh,25.02
1957,Riyadh,24.69
1958,Riyadh,25.64
1959,Riyadh,24.14
1960,Riyadh,25.67
1961,Riyadh,25.12
1962,Riyadh,26.10
1963,Riyadh,25.54
1964,Riyadh,25.14
1965,Riyadh,25.59
1966,Riyadh,26.16
1967,Riyadh,24.87
1968,Riyadh,25.21
1969,Riyadh,26.05
1970,Riyadh,25.84
1971,Riyadh,24.93
1972,Riyadh,24.74
1973,Riyadh,25.60
1974,Riyadh,25.40
1975,Riyadh,25.04
1976,Riyadh,24.97
1977,Riyadh,25.99
1978,Riyadh,25.95
1979,Riyadh,26.20
1980,Riyadh,25.83
1981,Riyadh,25.95
1982,Riyadh,24.62
1983,Riyadh,24.85
1984,Riyadh,25.05
1985,Riyadh,25.30
1986,Riyadh,25.36
1987,Riyadh,26.37
1988,Riyadh,25.99
1989,Riyadh,25.05
1990,Riyadh,25.70
1991,Riyadh,25.43
1992,Riyadh,24.37
1993,Riyadh,25.42
1994,Riyadh,26.08
1995,Riyadh,25.64
1996,Riyadh,26.28
1997,Riyadh,25.49
1998,Riyadh,26.73
1999,Riyadh,26.92
2000,Riyadh,26.55
2001,Riyadh,26.67
2002,Riyadh,26.44
2003,Riyadh,26.62
2004,Riyadh,26.20
2005,Riyadh,26.27
2006,Riyadh,26.24
2007,Riyadh,26.49
2008,Riyadh,26.21
2009,Riyadh,26.71
2010,Riyadh,27.37
2011,Riyadh,26.40
2012,Riyadh,26.83
2013,Riyadh,27.78
